pop_name,ou_mean_min,ou_mean_max
NGF1,-0.005,0.01
NGF2,-0.005,0.01
NGF3,-0.005,0.01
NGF4,-0.005,0.01
NGF5A,-0.005,0.01
NGF5B,-0.005,0.01
NGF6,-0.005,0.01
SOM2,-0.007,0
SOM3,-0.007,0
SOM4,-0.01,-0.002
SOM5A,-0.004,0.005
SOM5B,-0.004,0.005
SOM6,-0.003,0.006
PV2,0,0.01
PV3,0,0.01
PV4,-0.002,0.007
PV5A,0.005,0.015
PV5B,0.005,0.015
PV6,-0.003,0.007
VIP2,-0.002,0.005
VIP3,-0.002,0.005
VIP4,-0.001,0.007
VIP5A,-0.001,0.007
VIP5B,-0.001,0.007
VIP6,-0.011,0.009
IT2,0.02,0.035
IT3,0.02,0.035
IT6,0.007,0.025
ITP4,0.003,0.015
ITS4,-0.0025,0.004
IT5A,-0.005,0.01
IT5B,0.006,0.015
PT5B,0.015,0.035
CT5A,0.012,0.022
CT5B,0.012,0.022
CT6,0.012,0.022
TC,0.002,0.006
TCM,0.002,0.006
HTC,0.002,0.006
IRE,-0.005,0
IREM,-0.01,0.01
TI,0,0.007
TIM,0,0.007
