,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00000
ou_tuple                             [-0.04, 0.0]
TC                                            0.0
TCM                                           0.0
HTC                                           0.0
loss                                          700
dtype: object",700,1745356239,,False,1,2b05a_00000,2025-04-22_17-10-39,20.935235261917114,20.935235261917114,511495,node08,10.0.0.8,20.935235261917114,1,"(-0.04, 0.0)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00000,2b05a_00000
1,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00001
ou_tuple               [-0.04, 0.002105263157894]
TC                                            0.0
TCM                                           0.0
HTC                                           0.0
loss                                          700
dtype: object",700,1745356235,,False,1,2b05a_00001,2025-04-22_17-10-35,17.538416624069214,17.538416624069214,511513,node08,10.0.0.8,17.538416624069214,1,"(-0.04, 0.0021052631578947)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00001,2b05a_00001
2,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00002
ou_tuple               [-0.04, 0.004210526315789]
TC                                            0.0
TCM                                           0.0
HTC                                           0.0
loss                                          700
dtype: object",700,1745356239,,False,1,2b05a_00002,2025-04-22_17-10-39,20.864810466766357,20.864810466766357,511546,node08,10.0.0.8,20.864810466766357,1,"(-0.04, 0.0042105263157894)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00002,2b05a_00002
3,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00003
ou_tuple           [-0.04, 0.0063157894736840005]
TC                                            0.0
TCM                                           0.0
HTC                                           0.0
loss                                          700
dtype: object",700,1745356236,,False,1,2b05a_00003,2025-04-22_17-10-36,17.882282972335815,17.882282972335815,511555,node08,10.0.0.8,17.882282972335815,1,"(-0.04, 0.0063157894736842)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00003,2b05a_00003
4,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00004
ou_tuple               [-0.04, 0.008421052631578]
TC                                            0.0
TCM                                           0.0
HTC                                           0.0
loss                                          700
dtype: object",700,1745356238,,False,1,2b05a_00004,2025-04-22_17-10-38,20.387133598327637,20.387133598327637,511564,node08,10.0.0.8,20.387133598327637,1,"(-0.04, 0.0084210526315789)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00004,2b05a_00004
5,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00005
ou_tuple               [-0.04, 0.010526315789473]
TC                                            0.0
TCM                                           0.0
HTC                                           0.0
loss                                          700
dtype: object",700,1745356232,,False,1,2b05a_00005,2025-04-22_17-10-32,13.77458143234253,13.77458143234253,511614,node08,10.0.0.8,13.77458143234253,1,"(-0.04, 0.0105263157894736)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00005,2b05a_00005
6,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00006
ou_tuple            [-0.04, 0.012631578947368001]
TC                                       0.008621
TCM                                           0.0
HTC                                           0.0
loss                                          700
dtype: object",700,1745356239,,False,1,2b05a_00006,2025-04-22_17-10-39,20.513468265533447,20.513468265533447,511615,node08,10.0.0.8,20.513468265533447,1,"(-0.04, 0.0126315789473684)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00006,2b05a_00006
7,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00007
ou_tuple            [-0.04, 0.014736842105263001]
TC                                       0.034483
TCM                                      0.019355
HTC                                           0.0
loss                                          700
dtype: object",700,1745356236,,False,1,2b05a_00007,2025-04-22_17-10-36,18.42575740814209,18.42575740814209,511632,node08,10.0.0.8,18.42575740814209,1,"(-0.04, 0.0147368421052631)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00007,2b05a_00007
8,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00008
ou_tuple            [-0.04, 0.016842105263157003]
TC                                       0.103448
TCM                                      0.077419
HTC                                      0.052632
loss                                          700
dtype: object",700,1745356239,,False,1,2b05a_00008,2025-04-22_17-10-39,20.608858108520508,20.608858108520508,511633,node08,10.0.0.8,20.608858108520508,1,"(-0.04, 0.0168421052631578)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00008,2b05a_00008
9,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00009
ou_tuple               [-0.04, 0.018947368421052]
TC                                       0.293103
TCM                                      0.251613
HTC                                      0.263158
loss                                          700
dtype: object",700,1745356232,,False,1,2b05a_00009,2025-04-22_17-10-32,13.727112531661987,13.727112531661987,511651,node08,10.0.0.8,13.727112531661987,1,"(-0.04, 0.0189473684210526)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00009,2b05a_00009
10,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00010
ou_tuple               [-0.04, 0.021052631578947]
TC                                       0.663793
TCM                                      0.625806
HTC                                      0.605263
loss                                          700
dtype: object",700,1745356237,,False,1,2b05a_00010,2025-04-22_17-10-37,18.77207922935486,18.77207922935486,511670,node08,10.0.0.8,18.77207922935486,1,"(-0.04, 0.0210526315789473)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00010,2b05a_00010
11,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00011
ou_tuple            [-0.04, 0.023157894736842002]
TC                                        1.37069
TCM                                           1.4
HTC                                      1.447368
loss                                          700
dtype: object",700,1745356237,,False,1,2b05a_00011,2025-04-22_17-10-37,19.131704807281494,19.131704807281494,511705,node08,10.0.0.8,19.131704807281494,1,"(-0.04, 0.0231578947368421)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00011,2b05a_00011
12,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00012
ou_tuple            [-0.04, 0.025263157894736002]
TC                                       2.189655
TCM                                      2.470968
HTC                                      2.236842
loss                                          700
dtype: object",700,1745356232,,False,1,2b05a_00012,2025-04-22_17-10-32,14.370834350585938,14.370834350585938,511706,node08,10.0.0.8,14.370834350585938,1,"(-0.04, 0.0252631578947368)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00012,2b05a_00012
13,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00013
ou_tuple               [-0.04, 0.027368421052631]
TC                                       3.612069
TCM                                      3.774194
HTC                                      3.736842
loss                                          700
dtype: object",700,1745356240,,False,1,2b05a_00013,2025-04-22_17-10-40,21.475261926651,21.475261926651,511724,node08,10.0.0.8,21.475261926651,1,"(-0.04, 0.0273684210526315)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00013,2b05a_00013
14,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00014
ou_tuple            [-0.04, 0.029473684210526003]
TC                                       5.241379
TCM                                      5.412903
HTC                                      5.421053
loss                                          700
dtype: object",700,1745356237,,False,1,2b05a_00014,2025-04-22_17-10-37,18.806497812271118,18.806497812271118,511757,node08,10.0.0.8,18.806497812271118,1,"(-0.04, 0.0294736842105263)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00014,2b05a_00014
15,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00015
ou_tuple            [-0.04, 0.031578947368421005]
TC                                       6.844828
TCM                                       7.56129
HTC                                      7.131579
loss                                          700
dtype: object",700,1745356236,,False,1,2b05a_00015,2025-04-22_17-10-36,18.210161209106445,18.210161209106445,511758,node08,10.0.0.8,18.210161209106445,1,"(-0.04, 0.031578947368421)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00015,2b05a_00015
16,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00016
ou_tuple            [-0.04, 0.033684210526315005]
TC                                       9.017241
TCM                                     10.032258
HTC                                      9.552632
loss                                          700
dtype: object",700,1745356237,,False,1,2b05a_00016,2025-04-22_17-10-37,19.17506170272827,19.17506170272827,511798,node08,10.0.0.8,19.17506170272827,1,"(-0.04, 0.0336842105263157)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00016,2b05a_00016
17,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00017
ou_tuple                [-0.04, 0.03578947368421]
TC                                      11.456897
TCM                                     12.316129
HTC                                     12.052632
loss                                          700
dtype: object",700,1745356237,,False,1,2b05a_00017,2025-04-22_17-10-37,18.562901258468628,18.562901258468628,511799,node08,10.0.0.8,18.562901258468628,1,"(-0.04, 0.0357894736842105)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00017,2b05a_00017
18,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00018
ou_tuple               [-0.04, 0.037894736842105]
TC                                      13.956897
TCM                                     14.980645
HTC                                     14.447368
loss                                          700
dtype: object",700,1745356238,,False,1,2b05a_00018,2025-04-22_17-10-38,19.826979160308838,19.826979160308838,511818,node08,10.0.0.8,19.826979160308838,1,"(-0.04, 0.0378947368421052)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00018,2b05a_00018
19,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00019
ou_tuple                            [-0.04, 0.04]
TC                                      16.793103
TCM                                     17.587097
HTC                                     17.236842
loss                                          700
dtype: object",700,1745356240,,False,1,2b05a_00019,2025-04-22_17-10-40,21.826652765274048,21.826652765274048,511849,node08,10.0.0.8,21.826652765274048,1,"(-0.04, 0.04)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00019,2b05a_00019
20,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00020
ou_tuple                [-0.036315789473684, 0.0]
TC                                            0.0
TCM                                           0.0
HTC                                           0.0
loss                                          700
dtype: object",700,1745356246,,False,1,2b05a_00020,2025-04-22_17-10-46,11.940676212310791,11.940676212310791,529480,node08,10.0.0.8,11.940676212310791,1,"(-0.0363157894736842, 0.0)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00020,2b05a_00020
21,"saveFolder        ./exp_results/batch_ougrid_tc_20x20
simLabel                  batch_ougrid_tc_20x20_00021
ou_tuple      [-0.036315789473684, 0.002105263157894]
TC                                                0.0
TCM                                               0.0
HTC                                               0.0
loss                                              700
dtype: object",700,1745356246,,False,1,2b05a_00021,2025-04-22_17-10-46,12.034614086151123,12.034614086151123,529482,node08,10.0.0.8,12.034614086151123,1,"(-0.0363157894736842, 0.0021052631578947)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00021,2b05a_00021
22,"saveFolder        ./exp_results/batch_ougrid_tc_20x20
simLabel                  batch_ougrid_tc_20x20_00022
ou_tuple      [-0.036315789473684, 0.004210526315789]
TC                                                0.0
TCM                                               0.0
HTC                                               0.0
loss                                              700
dtype: object",700,1745356246,,False,1,2b05a_00022,2025-04-22_17-10-46,11.209785223007202,11.209785223007202,529484,node08,10.0.0.8,11.209785223007202,1,"(-0.0363157894736842, 0.0042105263157894)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00022,2b05a_00022
23,"saveFolder            ./exp_results/batch_ougrid_tc_20x20
simLabel                      batch_ougrid_tc_20x20_00023
ou_tuple      [-0.036315789473684, 0.0063157894736840005]
TC                                                    0.0
TCM                                                   0.0
HTC                                                   0.0
loss                                                  700
dtype: object",700,1745356251,,False,1,2b05a_00023,2025-04-22_17-10-51,13.458674430847168,13.458674430847168,531454,node08,10.0.0.8,13.458674430847168,1,"(-0.0363157894736842, 0.0063157894736842)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00023,2b05a_00023
24,"saveFolder        ./exp_results/batch_ougrid_tc_20x20
simLabel                  batch_ougrid_tc_20x20_00024
ou_tuple      [-0.036315789473684, 0.008421052631578]
TC                                                0.0
TCM                                               0.0
HTC                                               0.0
loss                                              700
dtype: object",700,1745356253,,False,1,2b05a_00024,2025-04-22_17-10-53,14.815396070480347,14.815396070480347,531456,node08,10.0.0.8,14.815396070480347,1,"(-0.0363157894736842, 0.0084210526315789)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00024,2b05a_00024
25,"saveFolder        ./exp_results/batch_ougrid_tc_20x20
simLabel                  batch_ougrid_tc_20x20_00025
ou_tuple      [-0.036315789473684, 0.010526315789473]
TC                                           0.008621
TCM                                               0.0
HTC                                               0.0
loss                                              700
dtype: object",700,1745356255,,False,1,2b05a_00025,2025-04-22_17-10-55,15.993136167526245,15.993136167526245,531461,node08,10.0.0.8,15.993136167526245,1,"(-0.0363157894736842, 0.0105263157894736)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00025,2b05a_00025
26,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00026
ou_tuple      [-0.036315789473684, 0.012631578947368001]
TC                                              0.025862
TCM                                             0.006452
HTC                                                  0.0
loss                                                 700
dtype: object",700,1745356256,,False,1,2b05a_00026,2025-04-22_17-10-56,16.147078275680542,16.147078275680542,531473,node08,10.0.0.8,16.147078275680542,1,"(-0.0363157894736842, 0.0126315789473684)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00026,2b05a_00026
27,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00027
ou_tuple      [-0.036315789473684, 0.014736842105263001]
TC                                              0.043103
TCM                                             0.058065
HTC                                             0.026316
loss                                                 700
dtype: object",700,1745356257,,False,1,2b05a_00027,2025-04-22_17-10-57,16.270686626434326,16.270686626434326,531497,node08,10.0.0.8,16.270686626434326,1,"(-0.0363157894736842, 0.0147368421052631)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00027,2b05a_00027
28,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00028
ou_tuple      [-0.036315789473684, 0.016842105263157003]
TC                                              0.181034
TCM                                             0.180645
HTC                                             0.210526
loss                                                 700
dtype: object",700,1745356256,,False,1,2b05a_00028,2025-04-22_17-10-56,15.474189758300781,15.474189758300781,531544,node08,10.0.0.8,15.474189758300781,1,"(-0.0363157894736842, 0.0168421052631578)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00028,2b05a_00028
29,"saveFolder        ./exp_results/batch_ougrid_tc_20x20
simLabel                  batch_ougrid_tc_20x20_00029
ou_tuple      [-0.036315789473684, 0.018947368421052]
TC                                           0.482759
TCM                                          0.529032
HTC                                          0.526316
loss                                              700
dtype: object",700,1745356257,,False,1,2b05a_00029,2025-04-22_17-10-57,15.319012641906738,15.319012641906738,531545,node08,10.0.0.8,15.319012641906738,1,"(-0.0363157894736842, 0.0189473684210526)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00029,2b05a_00029
30,"saveFolder        ./exp_results/batch_ougrid_tc_20x20
simLabel                  batch_ougrid_tc_20x20_00030
ou_tuple      [-0.036315789473684, 0.021052631578947]
TC                                           1.224138
TCM                                          1.135484
HTC                                          1.263158
loss                                              700
dtype: object",700,1745356257,,False,1,2b05a_00030,2025-04-22_17-10-57,15.407790899276733,15.407790899276733,531548,node08,10.0.0.8,15.407790899276733,1,"(-0.0363157894736842, 0.0210526315789473)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00030,2b05a_00030
31,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00031
ou_tuple      [-0.036315789473684, 0.023157894736842002]
TC                                              2.008621
TCM                                             2.251613
HTC                                             2.157895
loss                                                 700
dtype: object",700,1745356257,,False,1,2b05a_00031,2025-04-22_17-10-57,15.477262496948242,15.477262496948242,531661,node08,10.0.0.8,15.477262496948242,1,"(-0.0363157894736842, 0.0231578947368421)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00031,2b05a_00031
32,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00032
ou_tuple      [-0.036315789473684, 0.025263157894736002]
TC                                              3.422414
TCM                                             3.619355
HTC                                             3.447368
loss                                                 700
dtype: object",700,1745356257,,False,1,2b05a_00032,2025-04-22_17-10-57,15.517301321029663,15.517301321029663,531690,node08,10.0.0.8,15.517301321029663,1,"(-0.0363157894736842, 0.0252631578947368)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00032,2b05a_00032
33,"saveFolder        ./exp_results/batch_ougrid_tc_20x20
simLabel                  batch_ougrid_tc_20x20_00033
ou_tuple      [-0.036315789473684, 0.027368421052631]
TC                                           5.137931
TCM                                          5.393548
HTC                                          5.315789
loss                                              700
dtype: object",700,1745356258,,False,1,2b05a_00033,2025-04-22_17-10-58,15.88159990310669,15.88159990310669,531921,node08,10.0.0.8,15.88159990310669,1,"(-0.0363157894736842, 0.0273684210526315)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00033,2b05a_00033
34,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00034
ou_tuple      [-0.036315789473684, 0.029473684210526003]
TC                                               6.87931
TCM                                                  7.6
HTC                                             7.157895
loss                                                 700
dtype: object",700,1745356261,,False,1,2b05a_00034,2025-04-22_17-11-01,18.9411199092865,18.9411199092865,532304,node08,10.0.0.8,18.9411199092865,1,"(-0.0363157894736842, 0.0294736842105263)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00034,2b05a_00034
35,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00035
ou_tuple      [-0.036315789473684, 0.031578947368421005]
TC                                              9.241379
TCM                                            10.167742
HTC                                             9.763158
loss                                                 700
dtype: object",700,1745356258,,False,1,2b05a_00035,2025-04-22_17-10-58,15.688952922821045,15.688952922821045,532323,node08,10.0.0.8,15.688952922821045,1,"(-0.0363157894736842, 0.031578947368421)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00035,2b05a_00035
36,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00036
ou_tuple      [-0.036315789473684, 0.033684210526315005]
TC                                             11.844828
TCM                                            12.619355
HTC                                            12.368421
loss                                                 700
dtype: object",700,1745356262,,False,1,2b05a_00036,2025-04-22_17-11-02,19.03982424736023,19.03982424736023,532715,node08,10.0.0.8,19.03982424736023,1,"(-0.0363157894736842, 0.0336842105263157)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00036,2b05a_00036
37,"saveFolder       ./exp_results/batch_ougrid_tc_20x20
simLabel                 batch_ougrid_tc_20x20_00037
ou_tuple      [-0.036315789473684, 0.03578947368421]
TC                                         14.465517
TCM                                        15.490323
HTC                                        15.105263
loss                                             700
dtype: object",700,1745356262,,False,1,2b05a_00037,2025-04-22_17-11-02,19.033666610717773,19.033666610717773,532721,node08,10.0.0.8,19.033666610717773,1,"(-0.0363157894736842, 0.0357894736842105)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00037,2b05a_00037
38,"saveFolder        ./exp_results/batch_ougrid_tc_20x20
simLabel                  batch_ougrid_tc_20x20_00038
ou_tuple      [-0.036315789473684, 0.037894736842105]
TC                                          17.456897
TCM                                          18.23871
HTC                                         17.868421
loss                                              700
dtype: object",700,1745356262,,False,1,2b05a_00038,2025-04-22_17-11-02,18.88750433921814,18.88750433921814,533034,node08,10.0.0.8,18.88750433921814,1,"(-0.0363157894736842, 0.0378947368421052)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00038,2b05a_00038
39,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00039
ou_tuple               [-0.036315789473684, 0.04]
TC                                      20.163793
TCM                                     21.335484
HTC                                     20.368421
loss                                          700
dtype: object",700,1745356262,,False,1,2b05a_00039,2025-04-22_17-11-02,18.494336128234863,18.494336128234863,533500,node08,10.0.0.8,18.494336128234863,1,"(-0.0363157894736842, 0.04)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00039,2b05a_00039
40,"saveFolder    ./exp_results/batch_ougrid_tc_20x20
simLabel              batch_ougrid_tc_20x20_00040
ou_tuple             [-0.032631578947368005, 0.0]
TC                                            0.0
TCM                                           0.0
HTC                                           0.0
loss                                          700
dtype: object",700,1745356263,,False,1,2b05a_00040,2025-04-22_17-11-03,12.414135456085205,12.414135456085205,547191,node08,10.0.0.8,12.414135456085205,1,"(-0.0326315789473684, 0.0)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00040,2b05a_00040
41,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00041
ou_tuple      [-0.032631578947368005, 0.002105263157894]
TC                                                   0.0
TCM                                                  0.0
HTC                                                  0.0
loss                                                 700
dtype: object",700,1745356263,,False,1,2b05a_00041,2025-04-22_17-11-03,12.792016744613647,12.792016744613647,547195,node08,10.0.0.8,12.792016744613647,1,"(-0.0326315789473684, 0.0021052631578947)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00041,2b05a_00041
42,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00042
ou_tuple      [-0.032631578947368005, 0.004210526315789]
TC                                                   0.0
TCM                                                  0.0
HTC                                                  0.0
loss                                                 700
dtype: object",700,1745356263,,False,1,2b05a_00042,2025-04-22_17-11-03,12.080878257751465,12.080878257751465,547197,node08,10.0.0.8,12.080878257751465,1,"(-0.0326315789473684, 0.0042105263157894)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00042,2b05a_00042
43,"saveFolder               ./exp_results/batch_ougrid_tc_20x20
simLabel                         batch_ougrid_tc_20x20_00043
ou_tuple      [-0.032631578947368005, 0.0063157894736840005]
TC                                                       0.0
TCM                                                      0.0
HTC                                                      0.0
loss                                                     700
dtype: object",700,1745356265,,False,1,2b05a_00043,2025-04-22_17-11-05,11.228400468826294,11.228400468826294,549105,node08,10.0.0.8,11.228400468826294,1,"(-0.0326315789473684, 0.0063157894736842)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00043,2b05a_00043
44,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00044
ou_tuple      [-0.032631578947368005, 0.008421052631578]
TC                                                   0.0
TCM                                                  0.0
HTC                                                  0.0
loss                                                 700
dtype: object",700,1745356266,,False,1,2b05a_00044,2025-04-22_17-11-06,10.796745300292969,10.796745300292969,549161,node08,10.0.0.8,10.796745300292969,1,"(-0.0326315789473684, 0.0084210526315789)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00044,2b05a_00044
45,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00045
ou_tuple      [-0.032631578947368005, 0.010526315789473]
TC                                              0.008621
TCM                                                  0.0
HTC                                                  0.0
loss                                                 700
dtype: object",700,1745356274,,False,1,2b05a_00045,2025-04-22_17-11-14,16.2357976436615,16.2357976436615,549882,node08,10.0.0.8,16.2357976436615,1,"(-0.0326315789473684, 0.0105263157894736)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00045,2b05a_00045
46,"saveFolder              ./exp_results/batch_ougrid_tc_20x20
simLabel                        batch_ougrid_tc_20x20_00046
ou_tuple      [-0.032631578947368005, 0.012631578947368001]
TC                                                 0.034483
TCM                                                0.019355
HTC                                                     0.0
loss                                                    700
dtype: object",700,1745356276,,False,1,2b05a_00046,2025-04-22_17-11-16,16.81319546699524,16.81319546699524,550462,node08,10.0.0.8,16.81319546699524,1,"(-0.0326315789473684, 0.0126315789473684)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00046,2b05a_00046
47,"saveFolder              ./exp_results/batch_ougrid_tc_20x20
simLabel                        batch_ougrid_tc_20x20_00047
ou_tuple      [-0.032631578947368005, 0.014736842105263001]
TC                                                  0.12931
TCM                                                0.090323
HTC                                                0.052632
loss                                                    700
dtype: object",700,1745356277,,False,1,2b05a_00047,2025-04-22_17-11-17,17.20806884765625,17.20806884765625,550485,node08,10.0.0.8,17.20806884765625,1,"(-0.0326315789473684, 0.0147368421052631)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00047,2b05a_00047
48,"saveFolder              ./exp_results/batch_ougrid_tc_20x20
simLabel                        batch_ougrid_tc_20x20_00048
ou_tuple      [-0.032631578947368005, 0.016842105263157003]
TC                                                 0.353448
TCM                                                0.406452
HTC                                                0.394737
loss                                                    700
dtype: object",700,1745356274,,False,1,2b05a_00048,2025-04-22_17-11-14,14.057874917984009,14.057874917984009,550518,node08,10.0.0.8,14.057874917984009,1,"(-0.0326315789473684, 0.0168421052631578)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00048,2b05a_00048
49,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00049
ou_tuple      [-0.032631578947368005, 0.018947368421052]
TC                                              1.043103
TCM                                             0.896774
HTC                                             0.973684
loss                                                 700
dtype: object",700,1745356277,,False,1,2b05a_00049,2025-04-22_17-11-17,17.37652564048767,17.37652564048767,550520,node08,10.0.0.8,17.37652564048767,1,"(-0.0326315789473684, 0.0189473684210526)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00049,2b05a_00049
50,"saveFolder           ./exp_results/batch_ougrid_tc_20x20
simLabel                     batch_ougrid_tc_20x20_00050
ou_tuple      [-0.032631578947368005, 0.021052631578947]
TC                                              1.844828
TCM                                              2.03871
HTC                                             2.026316
loss                                                 700
dtype: object",700,1745356276,,False,1,2b05a_00050,2025-04-22_17-11-16,16.812695741653442,16.812695741653442,550523,node08,10.0.0.8,16.812695741653442,1,"(-0.0326315789473684, 0.0210526315789473)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00050,2b05a_00050
51,"saveFolder              ./exp_results/batch_ougrid_tc_20x20
simLabel                        batch_ougrid_tc_20x20_00051
ou_tuple      [-0.032631578947368005, 0.023157894736842002]
TC                                                 3.275862
TCM                                                3.477419
HTC                                                3.289474
loss                                                    700
dtype: object",700,1745356274,,False,1,2b05a_00051,2025-04-22_17-11-14,14.199306726455688,14.199306726455688,550532,node08,10.0.0.8,14.199306726455688,1,"(-0.0326315789473684, 0.0231578947368421)",./exp_results/batch_ougrid_tc_20x20,batch_ougrid_tc_20x20_00051,2b05a_00051
